Store,Domain,Program Found,Program Type,Atribe Usability,Signup URL,Tracking Method,Commission,Network/Tool,Evidence URL,Notes
Oziva,oziva.in,Yes,Affiliate program,Medium,https://www.oziva.in/collections/skin-nutrition-for-affiliate,affiliate link,,First-party affiliate collection,https://www.oziva.in/collections/skin-nutrition-for-affiliate,"Official site exposes an affiliate-targeted collection page; public application flow was not clearly surfaced, so classified Medium."
Skinkraft,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Blurindia,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Wellbeingnutrition,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Aliotoys,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Malharee,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Mokobara,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Blfabric,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Blackberrys,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Nurserylive,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Imdarji,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Fuaark,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Asitisnutrition,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Wearcomet,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Swissbeauty,swissbeauty.in,Yes,Affiliate program,Medium,https://www.affiliate-toolkit.com/program/swissbeauty/,affiliate link,23%,Admitad,https://www.affiliate-toolkit.com/program/swissbeauty/,Affiliate network availability surfaced publicly via Admitad listing.
Casekaro,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Perfumelounge,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Innovist,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Sugarcosmetics,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Duroflexworld,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Letshyphen,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Beastlife,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Freakins,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Satvicmovement,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Facescanada,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Wforwoman,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Millioncases,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Cosmix,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Goeye,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Arata,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Ramrajcotton,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Itokri,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
